size, dupes, statements
47, 12, 1429
47, 13, 1333
47, 14, 1661
47, 15, 1721
47, 16, 1797
47, 17, 2245
47, 18, 2341
47, 19, 1873
47, 20, 2485
47, 21, 2465
47, 22, 2429
47, 23, 2813
47, 24, 2701
47, 25, 2865
47, 26, 3241
47, 27, 3105
47, 28, 2909
47, 29, 3369
47, 30, 3145
47, 31, 3477
47, 32, 3757
47, 33, 3669
47, 34, 3785
47, 35, 3665
47, 36, 4217
47, 37, 3929
47, 38, 3789
47, 39, 4081
47, 40, 4509
47, 41, 4413
47, 42, 4629
47, 43, 4497
47, 44, 4633
47, 45, 4733
47, 46, 4893
47, 47, 4893
48, 1, 273
48, 2, 361
48, 3, 393
48, 4, 601
48, 5, 1001
48, 6, 897
48, 7, 1257
48, 8, 1133
48, 9, 1129
48, 10, 1265
48, 11, 1397
48, 12, 1485
48, 13, 1225
48, 14, 1781
48, 15, 1901
48, 16, 1937
48, 17, 2205
48, 18, 1873
48, 19, 2505
48, 20, 2273
48, 21, 2769
48, 22, 2569
48, 23, 2429
48, 24, 2481
48, 25, 2797
48, 26, 2617
48, 27, 3437
48, 28, 2969
48, 29, 3029
48, 30, 3469
48, 31, 3833
48, 32, 3689
48, 33, 3729
48, 34, 3717
48, 35, 3609
48, 36, 4085
48, 37, 3929
48, 38, 3693
48, 39, 4433
48, 40, 4249
48, 41, 4477
48, 42, 4697
48, 43, 4649
48, 44, 4653
48, 45, 4857
48, 46, 5085
48, 47, 5093
48, 48, 5093
49, 1, 285
49, 2, 321
49, 3, 585
49, 4, 825
49, 5, 705
49, 6, 741
49, 7, 645
49, 8, 1209
49, 9, 1333
49, 10, 1357
49, 11, 1277
49, 12, 1469
49, 13, 1941
49, 14, 2161
49, 15, 1813
49, 16, 2325
49, 17, 2001
49, 18, 2133
49, 19, 2057
49, 20, 2377
49, 21, 2237
49, 22, 2625
49, 23, 2485
49, 24, 3121
49, 25, 2501
49, 26, 3149
49, 27, 2913
49, 28, 3561
49, 29, 3301
49, 30, 3705
49, 31, 3725
49, 32, 3761
49, 33, 3605
49, 34, 3857
49, 35, 4005
49, 36, 3977
49, 37, 4085
49, 38, 4281
49, 39, 4425
49, 40, 4569
49, 41, 4589
49, 42, 4685
49, 43, 4853
49, 44, 4985
49, 45, 4789
49, 46, 5089
49, 47, 5137
49, 48, 5297
49, 49, 5297
50, 1, 245
50, 2, 265
50, 3, 465
50, 4, 609
50, 5, 617
50, 6, 1001
50, 7, 801
50, 8, 1273
50, 9, 1077
50, 10, 1293
50, 11, 1601
50, 12, 1625
50, 13, 2021
50, 14, 1665
50, 15, 1589
50, 16, 2077
50, 17, 2385
50, 18, 2073
50, 19, 2241
50, 20, 2537
50, 21, 2541
50, 22, 2873
50, 23, 2609
50, 24, 2829
50, 25, 2389
50, 26, 2797
50, 27, 3081
50, 28, 3569
50, 29, 3529
50, 30, 3433
50, 31, 3465
50, 32, 3765
50, 33, 3917
50, 34, 3841
50, 35, 3957
50, 36, 4229
50, 37, 4341
50, 38, 4349
50, 39, 4513
50, 40, 4305
50, 41, 4909
50, 42, 4945
50, 43, 4741
50, 44, 4989
50, 45, 5253
50, 46, 5269
50, 47, 5237
50, 48, 5477
50, 49, 5505
50, 50, 5505
51, 1, 249
51, 2, 537
51, 3, 617
51, 4, 749
51, 5, 929
51, 6, 737
51, 7, 909
51, 8, 1305
51, 9, 1277
51, 10, 1181
51, 11, 1773
51, 12, 1777
51, 13, 2121
51, 14, 1857
51, 15, 2093
51, 16, 2309
51, 17, 2089
51, 18, 2357
51, 19, 2021
51, 20, 2409
51, 21, 2565
51, 22, 3033
51, 23, 2841
51, 24, 2505
51, 25, 3265
51, 26, 3137
51, 27, 3513
51, 28, 2829
51, 29, 3445
51, 30, 3401
51, 31, 3789
51, 32, 3913
51, 33, 3841
51, 34, 4165
51, 35, 4053
51, 36, 3921
51, 37, 4125
51, 38, 4453
51, 39, 4441
51, 40, 4749
51, 41, 4861
51, 42, 4885
51, 43, 5013
51, 44, 5165
51, 45, 5341
51, 46, 5269
51, 47, 5217
51, 48, 5581
51, 49, 5689
51, 50, 5717
51, 51, 5717
52, 1, 401
52, 2, 381
52, 3, 745
52, 4, 569
52, 5, 993
52, 6, 977
52, 7, 1221
